key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords	total_species	worms_species	worms_percentage	total_occurrences
06df03fc-8973-490c-af74-089fffae9e24	Free-living marine Nematodes from San Julián bay (Santa Cruz, Argentine), 2009.	b62390e0-0e35-11d9-8431-b8a03c50a862	CCT CONICET-CENPAT Centro Científico Tecnológico	marine	73	73	100	8381
12ccff8a-cfa8-46f8-a8b0-c6da39cb8910	CMarZ (Census of Marine Zooplankton)-Asia Database	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine, plankton	141	140	99.29078014184395	2607
5d01caac-c0b4-4385-a494-d71067ce70c3	Institute of Marine Affairs Marine Reference Collection	215671db-9a23-4cb0-9d3b-060dc7d7c65d	Institute of Marine Affairs	marine	278	278	100	538
4caa2abf-8e32-4c4d-9b61-1c9b470718ce	Marine Turtles	f3bdbee7-8978-4bfc-bd3b-20650fee8fac	Marine Environmental Monitoring	marine	6	6	100	2394
37a1816f-d4fd-4d30-bf74-72ca5bf0eb90	Marine Species Records from Skomer Marine Conservation Zone (MCZ) Marine Monitoring Programme	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine	967	889	91.93381592554292	12470
520237b3-b0b3-47b5-90e1-af12098d6128	Marine Records from Pembrokeshire Marine Species Atlas	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine	2087	1797	86.10445615716338	38490
75f5d7fa-4f2b-4f97-8ca1-3a36f47a15bc	KiEco Marine Ecology: Marine Benthic Invertebrates	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, benthic	735	728	99.04761904761904	29829
686c1b9b-5f29-4e1f-8c28-f9779d264579	Porcupine Marine Natural History Society Dataset	f0a23325-1a1d-4b4c-a192-63765963d0a4	Porcupine Marine Natural History Society	marine	2102	1822	86.67935299714557	28148
79e21918-887b-4b40-9305-abc5f57494dd	Biodiversity of Luiz Saldanha Marine Park	54a7048f-6d1f-468e-bd38-a585e05ca24d	Centre of Marine Sciences	marine	1539	1273	82.71604938271605	84311
948c51dd-066e-4cdb-9554-d0ac54afb128	Avistamientos de Biodiversidad Marina  /  Marine Biodiversity Sightings	d54819fb-3423-49b9-bac4-5ac1624f9070	SEAK S.A.S	marine	124	124	100	142
18b7c5c7-9814-4dc4-a8aa-833e91969358	Marine bottom organisms in prospective marine protected area Froan-Sularevet, Norway	620e3d31-d433-4154-9cf6-232a6a6b5e3f	Akvaplan-niva	marine	45	43	95.55555555555556	21952
03428ad0-492b-495b-80ad-5b5376f238ba	Virginia Institute of Marine Science Invertebrate Collection	8862ef90-cb69-498c-b8ea-c15f8f7cdd07	Virginia Institute of Marine Science	marine	1287	1278	99.3006993006993	5167
0f6311c5-19a4-482a-a0bf-cbfe217a355d	Irish Marine Turtle Records	d2b97690-bfd6-11de-b279-d52977ace833	National Biodiversity Data Centre	marine	5	5	100	1071
0f6d26c0-c645-4f15-b1c9-fbcb77515545	University of Miami, Voss Marine Invertebrate Collections	5624d6f9-a94b-42c4-8814-a587e7e5e6f0	Rosenstiel School, University of Miami Voss Marine Invertebrate Collection	marine	5701	5622	98.61427819680758	31080
60de59a4-c428-4d49-873d-b117bea1fcc9	Ulster Museum Marine Surveys	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	1314	1083	82.42009132420091	73742
8f77a6c5-7ad6-4c73-847c-0e2119c2fa4f	KiEco Ecology: Marine Fish	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	Natural Resources Wales	marine, fish	106	106	100	9454
9fad752d-4bf9-4adf-9535-3cf6339a70fb	Department of Agriculture Environment and Rural Affairs (DAERA) Marine and Fisheries Division Marine Survey Data	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine, fish	2160	1771	81.99074074074075	237542
2a6e6cbf-3ac8-47b7-aba1-99a776fc5f18	SDNHM Marine Invertebrate Collection	8a471700-4ce8-11db-b80e-b8a03c50a862	San Diego Natural History Museum	marine	13965	13754	98.4890798424633	73095
8105f15e-f762-11e1-a439-00145eb45e9a	Marine specimens of Misaki Marine Biological Station, Graduate School of Science, The University of Tokyo	4fd82480-ea1c-11da-8db4-b8a03c50a862	National Museum of Nature and Science, Japan	marine	565	557	98.58407079646018	776
492d70bb-fe52-4575-9b35-ce4282f41d7d	Marine Education Society of Australasia	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	Atlas of Living Australia	marine	34	34	100	56
289ccc30-41c1-477b-b398-897561bb077e	Marine Organisms of American Samoa	90cc71b0-055b-11d8-b84e-b8a03c50a862	Bernice Pauahi Bishop Museum	marine	82	82	100	294
cfb98735-6065-42fa-8613-fce70d39cbbe	BioGIS - Marine snails - HUJ collections	cb633566-ed21-4684-bcce-df84d0eb4c8a	The National Natural History Collections	marine	422	419	99.28909952606637	1753
e2980e63-d152-4219-8c1e-0ffdef3ea6aa	Auckland Museum NZ Marine Collection	32e82a64-c9b4-4b2f-9fbd-d446309b973f	Auckland War Memorial Museum	marine	5529	5498	99.43931994935792	51885
1cfb1900-5735-4f47-9f97-cb99a1aa7211	Marine Life Society of South Australia	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	Atlas of Living Australia	marine	121	121	100	309
00df33f6-0296-46df-b2fe-0355c1422ba4	Loughs Agency Marine Survey Data	db20bedc-20f1-42dd-9051-a445139f8e51	Centre for Environmental Data and Recording	marine	28	27	96.42857142857144	4587
